Age,"Core ComicID","Core SeriesID",Country,Crossover,"Full Title",Genre,Imprint,Issue,"Issue Nr",Language,Publisher,"Release Date","Release Year",Series,"Series Group","Story Arc",Subtitle,Title,Variant,"Cover Price","CovrPrice Value","Custom Label","Date Sold",Grade,"Grader Notes","Grading Company",Key,"Key Category","Key Reason","Label Type","My Value","Page Quality","Price Sold","Purchase Date","Purchase Price","Purchase Store","Purchase Year","Raw / Slabbed","Signed by","Slab Certification Number","Sold Year",Value,Barcode,"Cover Date","Cover Year",Format,"No. of Pages","Variant Description"
Bronze,69687,5911,USA,,"The Arms of Doctor Octopus","Action | Adventure | Super-Heroes",,69A,69,English,"Marvel Comics",1976,1976,"Marvel Tales, Vol. 2",Spider-Man,,,"The Arms of Doctor Octopus",A,0.25,,,,,,,No,,,,,,,"Nov 28, 2025","$ 0.12","Half price books",2025,Raw,,,,,0714860247607,"Jul 1976",1976,Comic,32,
Bronze,70511,5946,USA,,"The Power of The Over-Mind","Action | Adventure | Super-Heroes",,93B,93,English,"Marvel Comics","Oct 1980",1980,"Marvel's Greatest Comics",,,,"The Power of The Over-Mind",B,0.50,,,,,,,No,,,,,,,"Nov 28, 2025","$ 0.25","Half price books",2025,Raw,,,,,0714860246810,"Oct 1980",1980,Comic,32,"Newsstand Edition"
Modern,75617,6443,USA,,"Who is Wonder Girl?, Answers and Questions","Adventure | Super-Heroes",,54,54,English,"DC Comics","Mar 1989",1989,"The New Titans","Teen Titans","Who is Wonder Girl?",,"Answers and Questions",,1.75,,,,,,,No,,,,,,,"Nov 28, 2025","$ 0.82","Half price books",2025,Raw,,,,,,"Mar 1989",1989,Comic,32,
Modern,308992,41331,USA,Rotworld,"Rotworld - Prologue, Part One","Action | Adventure | Super-Heroes",,12,12,English,"DC Comics","Aug 01, 2012",2012,"Animal Man, Vol. 2",,Prologue,,"Part One",,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001211,"Oct 2012",2012,Comic,32,
Modern,314329,41331,USA,Rotworld,"Rotworld - The Red Kingdom, Part One","Action | Adventure | Super-Heroes",,13,13,English,"DC Comics","Oct 03, 2012",2012,"Animal Man, Vol. 2",,"The Red Kingdom",,"Part One",,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001311,"Dec 2012",2012,Comic,32,
Modern,318185,41331,USA,Rotworld,"Rotworld - The Red Kingdom, Part Two","Action | Adventure | Super-Heroes",,14,14,English,"DC Comics","Nov 07, 2012",2012,"Animal Man, Vol. 2",,"The Red Kingdom",,"Part Two",,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001411,"Jan 2013",2013,Comic,32,
Modern,320580,41331,USA,Rotworld,"Rotworld - The Red Kingdom, Part Three","Action | Adventure | Super-Heroes",,15,15,English,"DC Comics","Dec 05, 2012",2012,"Animal Man, Vol. 2",,"The Red Kingdom",,"Part Three",,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001511,"Feb 2013",2013,Comic,32,
Modern,323204,41331,USA,Rotworld,"Rotworld - The Red Kingdom, Part Four","Action | Adventure | Super-Heroes",,16,16,English,"DC Comics","Jan 09, 2013",2013,"Animal Man, Vol. 2",,"The Red Kingdom",,"Part Four",,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001611,"Mar 2013",2013,Comic,32,
Modern,325610,41331,USA,Rotworld,"Rotworld - War of the Rot, Part One","Action | Adventure | Super-Heroes",,17,17,English,"DC Comics","Feb 06, 2013",2013,"Animal Man, Vol. 2",,"War of the Rot",,"Part One",,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001711,"Apr 2013",2013,Comic,32,
Modern,327091,41331,USA,Rotworld,"Rotworld - The Red Kingdom, Epilogue","Action | Adventure | Super-Heroes",,18,18,English,"DC Comics","Mar 06, 2013",2013,"Animal Man, Vol. 2",,"The Red Kingdom",,Epilogue,,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,76194130496001811,"May 2013",2013,Comic,32,
Modern,1056800,151397,USA,,,,,2B,2,English,"Image Comics","Apr 17, 2024",2024,"Sam and Twitch: Case Files",Spawn,,,,B,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,70985303953200221,"Apr 2024",2024,Comic,32,"Mirko Colak Variant"
Modern,1050494,151397,USA,,,,,1B,1,English,"Image Comics","Mar 27, 2024",2024,"Sam and Twitch: Case Files",Spawn,,,,B,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 1.50","Half price books",2025,Raw,,,,,70985303953200121,"Mar 2023",2023,Comic,32,"Todd McFarlane Variant"
Modern,895715,5165,USA,,"Sure It May Stink, But It Smells Like a Story to Us","Action | Adventure | Super-Heroes",,38B,38,English,"DC Comics","Mar 15, 1990",1990,"Justice League / International / America","Justice League",,,"Sure It May Stink, But It Smells Like a Story to Us",B,1.00,,,,,,,Minor,Death,"Death of Steel",,,,,"Nov 28, 2025","$ 0.99","Vintage stock",2025,Raw,,,,,07098930555705,"May 1990",1990,Comic,32,"Newsstand Edition"
Modern,31845,2613,USA,,"The Man Without Fear","Action | Adventure | Super-Heroes",,2A,2,English,"Marvel Comics","Sep 28, 1993",1993,"Daredevil: The Man Without Fear",Daredevil,,,"The Man Without Fear",A,2.95,,,,,,,Minor,Death,"Death of Mary Walker",,,,,"Nov 28, 2025","$ 0.99","Vintage stock",2025,Raw,,,,,75960602576300211,"Nov 1993",1993,Comic,32,"Direct Edition - Holofoil"
Modern,165861,15258,USA,,,"Action | Fantasy",,6,6,English,"Dark Horse Comics","Jan 2008",2008,"Hellboy: Darkness Calls",,,,,,2.99,,,,,,,No,,,,,,,"Nov 28, 2025","$ 0.99","Vintage stock",2025,Raw,,,,,76156810359500611,"Jan 2008",2008,Comic,32,"Mike Mignola Regular"
